word1,word2,frequency
"drugs","and",12
"individuals","living",12
"prevention","program",12
"may","require",12
"wwwhealthcareersinctcom","supported",12
"last","two",12
"tourism","economy",12
"that","without",12
"this","money",11
"the","senior",11
"state","plan",11
"and","look",11
"suffering","from",11
"children","not",11
"end","hunger",11
"this","industry",11
"entire","family",11
"network","utilizes",11
"sustainable","healthcare",11
"testifying","today",11
"new","system",11
"lack","the",11
"last","session",11
"local","early",11
"the","elder",11
"who","strive",11
"sheriden","woods",11
"cultural","and",11
"they","live",11
"councils","and",11
"who","reside",11
"not","all",11
"testify","today",11
"information","contact",11
"dental","school",11
"mother","and",11
"their","clients",11
"learned","how",11
"independent","and",11
"constituents","and",11
"benefits","for",11
"would","you",11
"exceed","the",11
"without","community",11
"tourism","advertisements",11
"dss","the",11
"and","representatives",11
"all","for",11
"risk","and",11
"forums","and",11
"boards","the",11
"result","the",11
"june","appropriations",11
"joined","the",11
"direct","service",11
"facilities","are",11
"will","likely",11
"reaching","out",11
"teen","mothers",11
"your","commitment",11
"intense","competition",11
"our","graduates",11
"the","independence",11
"million","year",11
"for","sfy",11
"which","can",11
"from","entering",11
"care","what",11
"and","skills",11
"the","caregiver",11
"now","going",11
"may","impact",11
"that","number",11
"map","with",11
"find","ways",11
"pcsw","has",11
"the","cct",11
"and","understanding",11
"fact","one",11
"directly","support",11
"the","organization",11
"club","members",11
"deserve","the",11
"infant","and",11
"adult","and",11
"and","incarceration",11
"story","and",11
"supports","continued",11
"the","african",11
"the","committees",11
"community","outreach",11
"cut","million",11
"dont","cut",11
"the","team",11
"luther","ridge",11
"for","now",11
"government","and",11
"connecticuts","leisure",11
"ago","the",11
"management","practices",11
"proposal","which",11
"own","apartment",11
"nonprot","alliance",11
"generated","more",11
"nursing","and",11
"and","individuals",11
"ranging","from",11
"programs","they",11
"and","want",11
"provided","over",11
"norwalk","and",11
"quality","child",11
"academic","and",11
"out","for",11
"funding","stream",11
"staff","the",11
"mental","healthcare",11
"the","healthcare",11
"testimony","connecticut",11
"costs","that",11
"already","struggle",11
"activities","account",11
"liberal","arts",11
"public","act",11
"the","ground",11
"why","dss",11
"place","inc",11
"provide","and",11
"pacific","americans",11
"advisory","committee",11
"helped","them",11
"alliance","the",11
"report","that",11
"and","outcomes",11
"valuable","resource",11
"improves","the",11
"trauma","and",11
"connecticut","must",11
"say","the",11
"the","member",11
"item","and",11
"reject","any",11
"project","clrp",11
"among","others",11
"eliminated","the",11
"policies","and",11
"customer","service",11
"the","list",11
"months","later",11
"cmhc","and",11
"help","keep",11
"and","decdtourism",11
"valley","hospital",11
"isnt","really",11
"and","bridgeport",11
"that","his",11
"during","these",11
"activity","each",11
"and","made",11
"can","serve",11
"she","can",11
"with","dementia",11
"many","instances",11
"and","adolescents",11
"student","debt",11
"connecticut","appropriations",11
"are","treated",11
"govemors","budget",11
"being","the",11
"tourism","the",11
"our","area",11
"opposes","the",11
"and","ability",11
"programs","beyond",11
"solution","would",11
"reduction","would",11
"decisions","and",11
"lay","off",11
"services","community",11
"important","program",11
"services","yet",11
"actual","cost",11
"they","cant",11
"has","saved",11
"the","art",11
"taxes","vote",11
"than","just",11
"economy","every",11
"clinical","care",11
"all","across",11
"the","teachers",11
"home","from",11
"conservative","with",11
"new","and",11
"budget","there",11
"diverse","group",11
"kimball","healthcare",11
"alcohol","and",11
"that","had",11
"for","life",11
"advertisements","from",11
"our","network",11
"enhancement","funding",11
"biennium","budget",11
"connecticut","travel",11
"school","finance",11
"federal","dollars",11
"executive","officer",11
"decdtourism","statewide",11
"their","goals",11
"suffered","greatly",11
"common","ground",11
"and","which",11
"december","connecticuts",11
"latino","community",11
"reimbursement","system",11
"with","such",11
"programs","can",11
"sts","and",11
"direct","support",11
"among","many",11
"beyond","tourism",11
"doesnt","now",11
"leveraged","and",11
"the","reimbursement",11
"this","day",11
"student","university",11
"staff","for",11
"fair","and",11
"returns","times",11
"with","connecticut",11
"calls","for",11
"fall","off",11
"serve","over",11
"few","examples",11
"grant","for",11
"million","and",11
"connecticut","office",11
"recession","due",11
"connecticut","hometown",11
"contribution","year",11
"are","invaluable",11
"worked","for",11
"you","carefully",11
"nfn","program",11
"what","you",11
"growing","needs",11
"personal","care",11
"children","through",11
"and","drive",11
"track","record",11
"the","strength",11
"developmental","delays",11
"southwestern","area",11
"that","includes",11
"building","room",11
"being","made",11
"offering","care",11
"provide","them",11
"they","care",11
"coventry","steps",11
"care","system",11
"needs","assessment",11
"the","likelihood",11
"old","son",11
"central","naugatuck",11
"underage","drinking",11
"cancer","early",11
"the","worst",11
"their","behalf",11
"director","and",11
"figure","out",11
"lapses","and",11
"dear","committee",11
"these","changes",11
"even","with",11
"what","everyone",11
"providers","have",11
"protect","and",11
"our","entire",11
"hartford","area",11
"get","paid",11
"learning","this",11
"million","continued",11
"need","these",11
"work","hard",11
"here","this",11
"our","coalition",11
"are","eligible",11
"nonprofit","agency",11
"specic","nursing",11
"our","doors",11
"reduce","services",11
"assault","and",11
"was","cut",11
"develop","and",11
"governors","recommendations",11
"advocates","for",11
"the","transition",11
"even","when",11
"budget","senator",11
"states","programs",11
"every","area",11
"other","words",11
"equal","opportunity",11
"potential","travelers",11
"room","and",11
"the","reality",11
"and","longterm",11
"that","her",11
"those","decisions",11
"program","through",11
"progress","towards",11
"decisions","will",11
"very","fortunate",11
"marketing","success",11
"masters","degree",11
"victim","advocate",11
"doing","this",11
"budget","proposes",11
"open","and",11
"now","has",11
"needed","and",11
"direct","tax",11
"for","education",11
"spending","are",11
"served","and",11
"year","tourism",11
"are","expected",11
"our","resources",11
"the","bill",11
"budgets","for",11
"made","and",11
"where","you",11
"the","better",11
"court","process",11
"homeless","for",11
"support","local",11
"communities","are",11
"still","conservative",11
"guidelines","from",11
"midterm","adjustments",11
"day","employment",11
"achieve","our",11
"current","prevention",11
"the","closure",11
"this","solution",11
"ways","that",11
"the","childs",11
"collection","and",11
"pilot","program",11
"call","home",11
"arts","culture",11
"knew","that",11
"are","supported",11
"com","supported",11
"yet","the",11
"generation","learning",11
"before","they",11
"matched","resulting",11
"with","fewer",11
"the","poor",11
"living","council",11
"statewide","nonprofit",11
"and","breakfast",11
"have","grown",11
"would","eliminate",11
"greatly","after",11
"ill","people",11
"nutrition","services",11
"abuse","council",11
"that","needs",11
"cut","would",11
"committee","submitted",11
"francis","hospital",11
"minority","students",11
"tax","generated",11
"tourism","activities",11
"every","student",11
"are","those",11
"the","southwest",11
"issues","such",11
"has","taught",11
"disabilities","partnership",11
"university","school",11
"school","program",11
"engagement","and",11
"living","advocate",11
"the","homeless",11
"marketing","connecticut",11
"manage","the",11
"near","future",11
"and","matched",11
"living","are",11
"dss","this",11
"the","garde",11
"the","recovery",11
"urban","service",11
"support","community",11
"wasnt","for",11
"mother","who",11
"been","for",11
"anming","truxes",11
"with","families",11
"generated","over",11
"not","reduce",11
"and","actually",11
"didnt","know",11
"connecticuts","future",11
"through","their",11
"connecticut","after",11
"who","come",11
"while","there",11
"are","well",11
"they","leave",11
"june","this",11
"could","help",11
"the","limiting",11
"being","inundated",11
"and","raise",11
"culturally","competent",11
"incarceration","and",11
"resources","are",11
"ofthe","state",11
"violence","the",11
"him","the",11
"like","mine",11
"are","made",11
"are","most",11
"that","while",11
"work","closely",11
"and","men",11
"liberty","bank",11
"also","provides",11
"industry","has",11
"the","daily",11
"team","and",11
"hospitality","sector",11
"wage","enhancement",11
"and","ongoing",11
"and","political",11
"the","fund",11
"with","increases",11
"receive","less",11
"proposal","and",11
"great","has",11
"get","funded",11
"the","commitment",11
"nationally","recognized",11
"taking","the",11
"would","cut",11
"take","into",11
"that","any",11
"but","these",11
"this","effort",11
"option","the",11
"the","dept",11
"made","the",11
"our","high",11
"emotional","and",11
"our","education",11
"and","allow",11
"health","initiative",11
"people","living",11
"american","community",11
"driver","and",11
"hard","for",11
"for","instance",11
"country","the",11
"and","assist",11
"healthcare","cuts",11
"and","hospitality",11
"not","alone",11
"state","connecticut",11
"benefits","from",11
"the","practice",11
"concerns","and",11
"show","continued",11
"care","plan",11
"and","food",11
"difficult","time",11
"and","just",11
"the","major",11
"above","the",11
"are","extremely",11
"that","contribution",11
"concerns","the",11
"services","should",11
"operating","costs",11
"investment","that",11
"nancial","troubles",11
"these","community",11
"money","from",11
"may","know",11
"invested","returns",11
"six","months",11
"that","everyone",11
"many","things",11
"about","them",11
"medicaid","rates",11
"the","branch",11
"program","helps",11
"breakfast","and",11
"end","dss",11
"today","the",11
"individuals","that",11
"funds","will",11
"who","provide",11
"community","needs",11
"and","respite",11
"systems","change",11
"the","increase",11
"family","was",11
"the","science",11
"economic","and",11
"bye","rep",11
"ensures","that",11
"allow","for",11
"marketing","would",11
"that","quality",11
"the","path",11
"have","reduced",11
"the","possible",11
"efforts","launched",11
"great","work",11
"rights","are",11
"the","interests",11
"hard","isnt",11
"and","necessary",11
"devastating","impact",11
"and","activities",11
"sector","accounted",11
"your","service",11
"grant","funded",11
"the","courts",11
"maintain","and",11
"comprehensive","and",11
"essential","and",11
"for","teachers",11
"year","through",11
"our","great",11
"families","can",11
"without","funding",11
"lived","with",11
"message","consumers",11
"with","dds",11
"and","focus",11
"consider","its",11
"local","school",11
"being","that",11
"june","senator",11
"language","learners",11
"the","above",11
"and","chair",11
"personal","services",11
"clinical","and",11
"learning","experiences",11
"groups","and",11
"fulfill","the",11
"dss","which",11
"medical","supplies",11
"organization","dedicated",11
"radiologic","technologist",11
"made","available",11
"with","federal",11
"please","know",11
"strong","support",11
"approved","for",11
"cents","per",11
"with","psychiatric",11
"our","health",11
"core","functions",11
"budget","reduction",11
"and","volunteers",11
"our","diverse",11
"residence","inn",11
"respectfully","urge",11
"from","direct",11
"the","dangers",11
"this","could",11
"provide","education",11
"policy","for",11
"living","services",11
"ecs","funding",11
"cost","sharing",11
"were","the",11
"connecticut","connecticut",11
"very","proud",11
"back","and",11
"marketing","regionally",11
"available","and",11
"cut","that",11
"additional","time",11
"the","barriers",11
"issue","and",11
"seen","how",11
"that","dds",11
"and","does",11
"small","business",11
"results","and",11
"practices","that",11
"get","more",11
"eliminates","the",11
"and","racs",11
"never","thought",11
"items","into",11
"obtain","the",11
"emergency","and",11
"that","offer",11
"not","true",11
"appreciate","your",11
"states","marketing",11
"home","heaith",11
"how","will",11
"restoring","the",11
"neediest","students",11
"transitional","programs",11
"ofthe","connecticut",11
"will","save",11
"parents","our",11
"vital","mental",10
"costs","are",10
"services","committee",10
"vital","and",10
"agency","has",10
"state","through",10
"will","suffer",10
"continued","impact",10
"fragile","system",10
"also","work",10
"safe","further",10
"every","community",10
"engaged","with",10
"have","gone",10
"many","are",10
"level","need",10
"you","restore",10
"are","faced",10
"our","neediest",10
"farmington","avenue",10
"tasked","with",10
"help","that",10
"told","that",10
"elections","enforcement",10
"their","efforts",10
"worry","about",10
"over","and",10
"care","hospitals",10
"the","fastest",10
"elders","with",10
"those","children",10
"councils","the",10
"connecticut","should",10
"asian","constituents",10
"healthy","lifestyles",10
"and","budget",10
"are","and",10
"programs","funded",10
"prevention","strategies",10
"concerns","for",10
"university","connecticut",10
"students","receive",10
"the","hearing",10
"and","transitional",10
"and","practices",10
"health","connecticut",10
"and","again",10
"services","can",10
"the","forefront",10
"organization","representing",10
"the","maximum",10
"state","more",10
"collaborating","with",10
"the","hours",10
"for","nearly",10
"and","each",10
"while","our",10
"making","sure",10
"programs","without",10
"his","family",10
"training","program",10
"law","and",10
"programs","services",10
"the","larger",10
"legislative","review",10
"respect","and",10
"stamps","and",10
"win","for",10
"connecticut","but",10
"residential","funding",10
"will","directly",10
"respectfully","oppose",10
"rebalancing","plan",10
"advance","for",10
"difference","for",10
"and","innovative",10
"five","regional",10
"keep","victims",10
"put","into",10
"are","pleased",10
"many","who",10
"prevention","councils",10
"urge","your",10
"work","has",10
"student","success",10
"career","center",10
"victims","safe",10
"stays","and",10
"and","went",10
"services","network",10
"human","needs",10
"also","respectfully",10
"private","agencies",10
"civil","legal",10
"from","its",10
"stated","that",10
"was","referred",10
"every","program",10
"meals","served",10
"performed","inhouse",10
"how","this",10
"severely","impact",10
"succeed","without",10
"and","nurturing",10
"also","oppose",10
"people","can",10
"evenstart","program",10
"that","end",10
"area","councils",10
"living","wage",10
"seen","its",10
"was","that",10
"families","they",10
"inc","february",10
"arts","organizations",10
"determine","how",10
"education","connection",10
"also","includes",10
"training","institute",10
"nonprofit","community",10
"policy","specialist",10
"and","teens",10
"the","communitys",10
"shift","the",10
"financially","supports",10
"fathers","and",10
"patients","communities",10
"chair","trung",10
"fear","that",10
"and","changes",10
"ensuring","the",10
"that","must",10
"cant","afford",10
"center","funding",10
"its","budget",10
"the","newly",10
"than","hours",10
"members","need",10
"further","the",10
"state","spends",10
"ive","had",10
"medical","interpreter",10
"jeopardize","our",10
"revenue","quickly",10
"and","requests",10
"not","speak",10
"the","real",10
"the","doctors",10
"waterbury","and",10
"too","complex",10
"for","others",10
"effectiveness","and",10
"connecticut","libraries",10
"college","education",10
"programs","our",10
"the","road",10
"dropping","out",10
"came","into",10
"interdistrict","magnet",10
"educated","workforce",10
"women","who",10
"budget","summary",10
"new","federal",10
"our","regions",10
"also","known",10
"adult","learners",10
"environments","that",10
"costly","alternatives",10
"this","report",10
"asian","american",10
"your","asian",10
"money","will",10
"funding","necessary",10
"and","enjoy",10
"with","what",10
"change","from",10
"initiative","programs",10
"five","conservation",10
"navigating","the",10
"studies","have",10
"fund","for",10
"important","role",10
"lives","for",10
"underserved","communities",10
"their","concerns",10
"instead","the",10
"centered","services",10
"great","care",10
"fiscal","times",10
"budget","are",10
"communities","across",10
"the","consumers",10
"million","proposed",10
"let","alone",10
"director","new",10
"board","for",10
"torrington","early",10
"haven","connecticut",10
"every","activity",10
"taxes","they",10
"from","what",10
"with","individuals",10
"own","marketing",10
"the","poverty",10
"the","size",10
"come","here",10
"program","our",10
"state","fiscal",10
"and","less",10
"university","system",10
"from","your",10
"were","created",10
"cost","share",10
"provider","for",10
"connecticuts","residents",10
"cultural","organizations",10
"maintain","its",10
"drop","out",10
"provide","those",10
"turn","the",10
"productive","members",10
"create","positive",10
"not","there",10
"the","initial",10
"who","came",10
"health","concerns",10
"capitol","region",10
"aging","and",10
"initiatives","including",10
"children","for",10
"local","programs",10
"the","jobs",10
"rising","costs",10
"community","for",10
"use","disorders",10
"critical","training",10
"centers","have",10
"positive","parenting",10
"services","needed",10
"our","childrens",10
"solution","that",10
"whom","would",10
"their","time",10
"hard","enough",10
"expenditures","and",10
"state","grants",10
"son","has",10
"february","thank",10
"the","capacity",10
"have","continued",10
"will","still",10
"future","generations",10
"desperately","needed",10
"crisis","programs",10
"the","museum",10
"within","each",10
"items","and",10
"year","projected",10
"water","and",10
"financial","challenges",10
"these","problems",10
"doc","dmhas",10
"aside","from",10
"home","visitors",10
"away","and",10
"state","medicaid",10
"help","support",10
"for","childrens",10
"process","has",10
"will","ensure",10
"hospital","tax",10
"private","funds",10
"aware","that",10
"are","small",10
"try","and",10
"child","support",10
"rates","are",10
"the","aaac",10
"the","door",10
"are","interested",10
"and","across",10
"dont","need",10
"has","historically",10
"every","one",10
"connecticuts","public",10
"wait","list",10
"get","out",10
"childrens","academic",10
"they","should",10
"important","than",10
"outreach","program",10
"connecticut","released",10
"transparency","for",10
"agriculture","has",10
"who","participate",10
"medical","appointments",10
"placement","and",10
"his","mother",10
"higher","learning",10
"medicaid","home",10
"services","connecticut",10
"and","much",10
"but","making",10
"decision","about",10
"year","despite",10
"care","access",10
"that","each",10
"programs","provide",10
"analysis","showing",10
"now","supported",10
"seeing","the",10
"the","hispanic",10
"that","foster",10
"the","diversity",10
"summer","and",10
"and","could",10
"rapid","rehousing",10
"valley","regional",10
"they","make",10
"one","million",10
"the","marvin",10
"state","wwwhealthcareersinctcom",10
"beds","and",10
"children","ages",10
"need","them",10
"organization","the",10
"and","feel",10
"this","great",10
"agency","priorities",10
"quality","naeyc",10
"not","yet",10
"make","these",10
"run","the",10
"state","elections",10
"campaigns","proposal",10
"can","generate",10
"medical","home",10
"lyme","disease",10
"quality","after",10
"access","network",10
"quality","improvement",10
"identified","and",10
"previous","cut",10
"allows","the",10
"state","level",10
"are","helping",10
"and","prevent",10
"and","uconn",10
"attend","our",10
"hearing","voices",10
